cluster_id,n_voxels,peak_value,peak_i,peak_j,peak_k,peak_x,peak_y,peak_z,com_x,com_y,com_z,HO_cortical_label,HO_subcortical_label,best_label
1,1,1.0,4,45,28,-81.77244392037392,-25.224611312150955,-18.823638916015625,-81.77244392037392,-25.224611312150955,-18.823638916015625,,,
2,13,1.0,4,50,30,-82.21376758813858,-15.23435428738594,-14.823638916015625,-78.92072283075406,-13.086932160533394,-14.823638916015625,,,
3,3,1.0,4,51,23,-82.30203232169151,-13.236302882432938,-28.823638916015625,-80.30398580431938,-13.148038364946842,-28.823638916015625,,,
4,1,1.0,4,53,35,-82.47856178879738,-9.240200072526932,-4.823638916015625,-82.47856178879738,-9.240200072526932,-4.823638916015625,,,
5,4,1.0,4,54,31,-82.56682652235031,-7.242148667573929,-12.823638916015625,-80.59084618836641,-6.654371298849583,-12.823638916015625,,,
6,1,1.0,5,58,32,-80.92183893918991,0.8383214697241783,-10.823638916015625,-80.92183893918991,0.8383214697241783,-10.823638916015625,,,
7,1,1.0,5,58,34,-80.92183893918991,0.8383214697241783,-6.823638916015625,-80.92183893918991,0.8383214697241783,-6.823638916015625,,,
8,1,1.0,6,38,31,-77.15849775075912,-39.034442111849785,-12.823638916015625,-77.15849775075912,-39.034442111849785,-12.823638916015625,,,
9,2,1.0,6,47,30,-77.95288035273552,-21.05197946727276,-14.823638916015625,-76.95385709404945,-21.00784720852971,-14.823638916015625,,,
10,2,1.0,6,48,32,-78.04114508628845,-19.053928062319756,-10.823638916015625,-77.04212182760239,-19.009795803576708,-10.823638916015625,,,
11,3,1.0,6,49,25,-78.12940981984138,-17.055876657366753,-24.823638916015625,-76.13136330246925,-16.967612139880657,-24.823638916015625,,,
12,1,1.0,6,53,34,-78.48246875405312,-9.063671037554741,-6.823638916015625,-78.48246875405312,-9.063671037554741,-6.823638916015625,,,
13,3,1.0,6,54,25,-78.57073348760605,-7.065619632601738,-24.823638916015625,-77.23870247602463,-7.006776620944336,-24.15697224934896,,,
14,1,1.0,6,62,35,-79.27685135602951,8.918791607022285,-4.823638916015625,-79.27685135602951,8.918791607022285,-4.823638916015625,,,
15,1,1.0,7,46,22,-75.86656910181046,-22.961766354739666,-30.823638916015625,-75.86656910181046,-22.961766354739666,-30.823638916015625,,,
16,3,1.0,8,40,38,-73.33893418312073,-34.86181026697159,1.176361083984375,-71.3408876657486,-34.77354574948549,1.176361083984375,,,
17,6,1.0,8,44,43,-73.69199311733246,-26.869604647159576,11.176361083984375,-70.3619155883789,-26.72249711801608,12.843027750651046,,,
